"","age","male","income","white","college","usborn","treatment","ideology","immigration_before","immigration_after","partisanship"
"1",31,0,135000,1,1,1,1,3,1,2,3
"2",34,0,105000,1,1,0,1,4,5,4,2
"3",63,1,135000,1,1,1,1,2,5,3,4
"4",45,1,300000,1,1,1,1,4,3,3,2
"5",55,1,135000,1,1,1,0,2,3,4,4
"6",37,0,87500,1,1,1,1,5,3,3,1
"7",64,0,135000,1,0,1,1,NA,1,NA,NA
"8",53,0,87500,1,0,1,0,5,2,2,1
"9",36,1,135000,1,1,1,1,4,3,3,2
"10",54,0,105000,1,0,1,0,3,3,2,3
"11",42,1,135000,1,1,1,1,4,3,3,2
"12",33,0,105000,1,1,NA,0,3,3,3,3
"13",50,1,250000,1,1,1,1,4,2,3,2
"14",24,1,105000,1,1,1,1,4,2,1,2
"15",40,1,62500,1,1,1,0,1,3,3,5
"16",53,1,300000,1,1,1,0,2,5,4,4
"17",50,0,105000,0,1,0,1,3,3,3,3
"18",33,0,135000,1,1,0,1,3,3,3,3
"19",33,1,250000,0,1,0,1,1,3,3,5
"20",32,0,NA,1,1,1,1,2,4,4,4
"21",57,0,135000,1,1,1,1,5,1,1,1
"22",41,0,62500,1,0,1,1,2,3,3,4
"23",36,0,105000,1,1,1,1,2,3,2,4
"24",43,1,135000,1,1,1,0,3,2,3,3
"25",25,0,62500,1,1,1,1,2,3,3,4
"26",41,1,250000,1,1,0,0,2,5,4,4
"27",33,0,105000,1,1,1,0,2,3,3,4
"28",44,1,62500,1,NA,1,0,1,4,4,5
"29",46,1,250000,1,1,1,0,4,3,4,2
"30",41,0,135000,0,1,1,0,4,1,1,2
"31",28,0,105000,1,1,1,0,3,4,3,3
"32",36,1,135000,1,1,1,0,2,4,4,4
"33",37,1,105000,1,1,1,0,4,4,4,2
"34",38,1,87500,0,1,0,1,2,3,3,4
"35",48,1,42500,1,1,1,0,3,4,4,3
"36",43,1,135000,1,1,1,1,2,3,NA,4
"37",20,0,135000,1,1,0,1,1,3,2,5
"38",52,0,105000,1,1,1,0,1,3,3,5
"39",38,1,87500,1,1,0,0,1,3,4,5
"40",45,1,250000,1,1,1,0,2,3,4,4
"41",55,0,105000,1,1,1,0,3,3,3,3
"42",38,0,87500,1,1,1,0,1,4,4,5
"43",45,0,135000,1,1,1,0,2,5,5,4
"44",44,1,300000,1,1,1,0,3,4,3,3
"45",36,1,135000,1,1,0,1,2,3,3,4
"46",29,0,42500,0,1,0,1,4,2,1,2
"47",42,1,62500,0,1,0,1,2,4,3,4
"48",43,0,135000,1,1,1,0,2,3,3,4
"49",54,0,105000,1,1,1,1,1,3,3,5
"50",39,1,135000,1,1,1,1,3,2,3,3
"51",31,1,135000,1,1,0,0,3,3,3,3
"52",50,1,135000,1,1,1,0,3,3,3,3
"53",60,0,87500,1,0,1,0,2,1,3,4
"54",67,1,135000,1,1,1,0,2,1,2,4
"55",54,0,135000,1,1,1,0,3,5,5,3
"56",44,0,250000,0,1,1,0,2,3,3,4
"57",50,0,175000,1,1,1,1,3,3,2,3
"58",20,1,135000,1,0,1,0,2,1,2,4
"59",57,1,105000,1,1,1,0,1,5,5,5
"60",25,0,135000,0,1,1,1,2,4,3,4
"61",60,1,250000,1,1,1,1,2,5,3,4
"62",44,1,62500,1,0,1,1,5,1,2,1
"63",39,1,62500,0,1,0,0,NA,4,NA,NA
"64",35,0,87500,1,1,1,1,2,4,3,4
"65",54,1,135000,1,1,1,1,2,4,4,4
"66",52,1,135000,1,1,0,1,3,1,3,3
"67",47,1,300000,1,1,1,1,5,3,5,1
"68",60,1,105000,1,1,1,0,2,4,4,4
"69",47,1,300000,1,1,1,0,4,4,4,2
"70",22,1,42500,1,1,1,0,2,4,4,4
"71",56,0,250000,1,0,1,1,2,3,3,4
"72",49,1,87500,1,1,1,1,4,3,NA,2
"73",50,1,87500,1,1,0,1,2,3,3,4
"74",21,1,135000,1,1,1,0,3,1,1,3
"75",29,0,250000,1,1,1,0,2,3,4,4
"76",45,1,300000,1,1,1,0,5,3,5,1
"77",46,1,135000,0,1,0,1,1,3,3,5
"78",42,1,135000,1,1,1,0,4,3,3,2
"79",23,1,135000,1,1,1,1,3,3,3,3
"80",29,1,62500,1,0,1,0,3,2,1,3
"81",60,0,135000,1,0,1,0,1,4,4,5
"82",41,0,135000,1,1,1,0,1,4,4,5
"83",30,0,135000,1,1,1,0,2,2,3,4
"84",49,0,300000,1,1,1,0,NA,4,NA,NA
"85",61,1,135000,1,1,1,0,4,3,3,2
"86",21,0,135000,1,1,1,0,3,4,4,3
"87",46,1,250000,1,1,1,0,4,3,3,2
"88",53,1,250000,1,1,1,1,4,1,2,2
"89",52,0,250000,1,1,0,0,2,NA,4,4
"90",45,1,87500,1,1,1,0,3,3,3,3
"91",46,1,250000,1,1,1,0,3,3,3,3
"92",33,1,300000,1,1,1,1,NA,3,NA,NA
"93",63,1,250000,1,1,1,0,4,3,3,2
"94",21,0,250000,1,1,1,0,5,1,4,1
"95",31,1,87500,1,1,1,0,2,3,3,4
"96",35,0,105000,1,1,1,1,4,1,2,2
"97",22,0,135000,1,1,1,0,3,3,3,3
"98",68,0,62500,1,1,1,0,2,3,3,4
"99",27,1,105000,1,0,1,1,2,3,3,4
"100",22,1,105000,1,1,1,1,2,5,4,4
"101",30,0,62500,1,1,0,1,3,4,4,3
"102",59,1,62500,1,0,1,1,3,3,3,3
"103",56,0,62500,1,1,1,0,2,3,3,4
"104",32,0,42500,1,1,1,1,4,1,1,2
"105",35,0,62500,1,1,1,1,3,3,3,3
"106",23,1,300000,1,1,1,0,3,3,5,3
"107",60,1,135000,0,1,0,0,2,2,3,4
"108",50,1,250000,1,1,1,0,5,2,3,1
"109",31,1,62500,1,0,1,1,2,5,3,4
"110",43,0,300000,1,1,1,1,1,3,3,5
"111",30,0,105000,1,1,1,1,3,2,2,3
"112",54,1,105000,1,1,1,0,3,3,3,3
"113",52,0,105000,1,0,1,1,4,4,3,2
"114",52,1,23500,1,1,1,0,1,3,3,5
"115",50,0,62500,1,1,1,0,4,1,1,2
"116",37,1,87500,1,1,0,1,3,4,4,3
"117",27,1,105000,0,1,0,1,2,2,3,4
"118",55,0,250000,0,1,1,0,4,3,3,2
"119",42,1,87500,0,0,1,0,3,4,3,3
"120",68,1,300000,1,1,1,0,3,3,3,3
"121",52,0,135000,1,1,1,0,2,4,3,4
"122",32,1,135000,1,1,1,0,NA,2,NA,NA
"123",50,0,135000,1,1,1,1,2,5,5,4
